Dataset,Missingness Ratio,Mechanism,Iteration,ROC-AUC Score,Impute,precision,recall,sensitivity,specificity,ppv,npv,f1
breast_cancer,0.2,MCAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MCAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MCAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MCAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MCAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MNAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MNAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MNAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MNAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MNAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MNAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MNAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MNAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MNAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.2,MNAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MCAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MCAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MCAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MCAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MCAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MCAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MCAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MCAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MCAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MCAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MNAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MNAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MNAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MNAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MNAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MNAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MNAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MNAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MNAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast_cancer,0.3,MNAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MCAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MCAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MCAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MCAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MCAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MCAR,6,1.0,global,1.0,0.9411764705882353,0.9411764705882353,1.0,1.0,0.9761904761904762,0.9696969696969697
open_ml_breast_cancer,0.1,MCAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MCAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MCAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MCAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MAR,1,1.0,global,1.0,0.9411764705882353,0.9411764705882353,1.0,1.0,0.9761904761904762,0.9696969696969697
open_ml_breast_cancer,0.1,MAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MNAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MNAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MNAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MNAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MNAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MNAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MNAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MNAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MNAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.1,MNAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MCAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MCAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MCAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MCAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MCAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MCAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MCAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MCAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MCAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MCAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MAR,3,1.0,global,1.0,0.9411764705882353,0.9411764705882353,1.0,1.0,0.9761904761904762,0.9696969696969697
open_ml_breast_cancer,0.2,MAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MAR,10,1.0,global,1.0,0.9411764705882353,0.9411764705882353,1.0,1.0,0.9761904761904762,0.9696969696969697
open_ml_breast_cancer,0.2,MNAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MNAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MNAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MNAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MNAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MNAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MNAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MNAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MNAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.2,MNAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MCAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MCAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MCAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MCAR,4,1.0,global,1.0,0.9411764705882353,0.9411764705882353,1.0,1.0,0.9761904761904762,0.9696969696969697
open_ml_breast_cancer,0.3,MCAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MCAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MCAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MCAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MCAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MCAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MAR,7,1.0,global,1.0,0.9411764705882353,0.9411764705882353,1.0,1.0,0.9761904761904762,0.9696969696969697
open_ml_breast_cancer,0.3,MAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MAR,9,1.0,global,1.0,0.9411764705882353,0.9411764705882353,1.0,1.0,0.9761904761904762,0.9696969696969697
open_ml_breast_cancer,0.3,MAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MNAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MNAR,2,1.0,global,1.0,0.9411764705882353,0.9411764705882353,1.0,1.0,0.9761904761904762,0.9696969696969697
open_ml_breast_cancer,0.3,MNAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MNAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MNAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MNAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MNAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MNAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MNAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
open_ml_breast_cancer,0.3,MNAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MCAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MCAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MCAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MCAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MCAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MCAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MCAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MCAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MCAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MCAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MNAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MNAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MNAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MNAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MNAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MNAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MNAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MNAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MNAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.1,MNAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MCAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MCAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MCAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MCAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MCAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MCAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MCAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MCAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MCAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MCAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MNAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MNAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MNAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MNAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MNAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MNAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MNAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MNAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MNAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.2,MNAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MCAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MCAR,2,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MCAR,3,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MCAR,4,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MCAR,5,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MCAR,6,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MCAR,7,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MCAR,8,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MCAR,9,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MCAR,10,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pima_indians_diabetes,0.3,MAR,1,1.0,global,1.0,1.0,1.0,1.0,1.0,1.0,1.0
